Id	Des	TribeId	CardId
INT	STRING	INT	INT
#...			
#...			
#此行必须有!!客户端确定是否需要读到内存			
1		10	10001
2		10	10101
3		10	10201
4		10	11001
5		10	11101
6		10	11201
7		10	12001
8		10	12101
9		10	12201
10		10	13001
11		10	13101
12		10	13201
13		10	14001
14		10	14101
15		10	14201
16		20	20001
17		20	20101
18		20	20201
19		20	21001
20		20	21101
21		20	21201
22		20	22001
23		20	22101
24		20	22201
25		20	23001
26		20	23101
27		20	23201
28		20	24001
29		20	24101
30		20	24201
31		30	30001
32		30	30101
33		30	30201
34		30	31001
35		30	31101
36		30	31201
37		30	32001
38		30	32101
39		30	32201
40		30	33001
41		30	33101
42		30	33201
43		30	34001
44		30	34101
45		30	34201
46		50	40001
47		50	40101
48		50	40201
49		50	41001
50		50	41101
51		50	41201
52		50	42001
53		50	42101
54		50	42201
55		50	43001
56		50	43101
57		50	43201
58		50	44001
59		50	44101
60		50	44201
61		60	501
62		60	501
63		60	501
64		60	502
65		60	503
66		60	504
67		60	505
68		60	506
69		60	507
70		60	508
71		60	509
72		60	510
73		60	511
74		60	512
75		60	513
76		70	601
77		70	601
78		70	601
79		70	602
80		70	603
81		70	604
82		70	605
83		70	606
84		70	607
85		70	608
86		70	609
87		70	610
88		70	611
89		70	612
90		70	613
91		80	701
92		80	701
93		80	701
94		80	702
95		80	703
96		80	704
97		80	705
98		80	706
99		80	707
100		80	708
101		80	709
102		80	710
103		80	711
104		80	712
105		80	713
